aoi_id,aoi_status,feature_count,feature_count_source,pre_scene_count,post_scene_count,candidate_pair_count,best_pre_scene_id,best_pre_acquisition_time,best_post_scene_id,best_post_acquisition_time,best_common_features_covered,best_coverage_gate,best_spend_gate,next_action
emsr884-aoi02-caracas,official-vector,17,public_catalog_damage_layer,5,8,40,B160001100FD1910,2026-03-20T14:46:55.249591Z,B040001100075510,2026-06-26T15:09:50.723001Z,17,eligible_after_chip_qa,official_chip_qa_then_vlm,"Generate QA chips for official features, then run HF only for visible/aligned chips."
emsr884-aoi02-caracas-monitor01,official-monitor-points,20,public_catalog_damage_layer,2,3,6,B1400011000BDF10,2026-02-09T12:03:36.37465Z,B040001100075510,2026-06-26T15:09:50.723001Z,20,eligible_after_chip_qa,official_chip_qa_then_vlm,"Generate QA chips for official features, then run HF only for visible/aligned chips."
emsr884-aoi03-antimano,imagery-only,0,public_catalog_damage_layer,4,10,40,B160001100FD1910,2026-03-20T14:46:55.249591Z,B040001100075610,2026-06-26T15:09:37.473432Z,0,coverage_only_zero_current_features,hold_no_current_damage_features,Hold paid VLM; no current feature layer to review.
emsr884-aoi05-santa-cruz,official-monitor-points,3,public_catalog_damage_layer,0,3,0,,,,,0,blocked_no_vantor_pre_event_coverage,hold_no_vantor_pre_event_coverage,Hold before/after VLM; find dated high-resolution pre-event imagery first.
emsr884-aoi06-moron,official-vector,129,public_catalog_damage_layer,0,3,0,,,,,0,blocked_no_vantor_pre_event_coverage,hold_no_vantor_pre_event_coverage,Hold before/after VLM; find dated high-resolution pre-event imagery first.
emsr884-aoi06-moron-monitor01,official-monitor-points,96,public_catalog_damage_layer,0,3,0,,,,,0,blocked_no_vantor_pre_event_coverage,hold_no_vantor_pre_event_coverage,Hold before/after VLM; find dated high-resolution pre-event imagery first.
emsr884-aoi08-san-felipe,official-vector,43,public_catalog_damage_layer,0,5,0,,,,,0,blocked_no_vantor_pre_event_coverage,hold_no_vantor_pre_event_coverage,Hold before/after VLM; find dated high-resolution pre-event imagery first.
emsr884-aoi08-san-felipe-monitor01,official-monitor-points,183,public_catalog_damage_layer,0,4,0,,,,,0,blocked_no_vantor_pre_event_coverage,hold_no_vantor_pre_event_coverage,Hold before/after VLM; find dated high-resolution pre-event imagery first.
emsr884-aoi10-guacara,imagery-only,0,public_catalog_damage_layer,0,5,0,,,,,0,blocked_no_vantor_pre_event_coverage,hold_no_vantor_pre_event_coverage,Hold before/after VLM; find dated high-resolution pre-event imagery first.
emsr884-aoi12-caraballeda,official-vector,166,official_aoi12_gra_v2_ops,4,10,40,B120001100513B10,2026-04-07T15:14:46.124708Z,B040001100075610,2026-06-26T15:09:37.473432Z,93,eligible_after_chip_qa,official_chip_qa_then_vlm,"Generate QA chips for official features, then run HF only for visible/aligned chips."
emsr884-aoi12-caraballeda-monitor01,official-monitor-points,1004,public_catalog_damage_layer,4,10,40,B120001100513B10,2026-04-07T15:14:46.124708Z,B040001100075610,2026-06-26T15:09:37.473432Z,711,eligible_after_chip_qa,official_chip_qa_then_vlm,"Generate QA chips for official features, then run HF only for visible/aligned chips."
external-msft-catia-la-mar-predicted-damage,external-prediction,9134,public_catalog_damage_layer,3,8,24,B120001100513B10,2026-04-07T15:14:46.124708Z,B040001100075610,2026-06-26T15:09:37.473432Z,8886,eligible_after_chip_qa,external_dedupe_sample_chip_qa_then_vlm,"Spatially dedupe and sample external candidates, then chip-QA before HF."
external-msft-caraballeda-east-predicted-damage,external-prediction,622,public_catalog_damage_layer,1,4,4,B130001101BE2A00,2025-11-03T12:56:33.749851Z,B040001100075510,2026-06-26T15:09:50.723001Z,149,eligible_after_chip_qa,external_dedupe_sample_chip_qa_then_vlm,"Spatially dedupe and sample external candidates, then chip-QA before HF."
external-msft-catia-la-mar-east-predicted-damage,external-prediction,1209,public_catalog_damage_layer,3,9,27,B160001100FF4510,2026-03-21T14:31:32.374596Z,B15000110186C610,2026-06-27T13:48:10.374681Z,1209,eligible_after_chip_qa,external_dedupe_sample_chip_qa_then_vlm,"Spatially dedupe and sample external candidates, then chip-QA before HF."
external-msft-la-guaira-east-predicted-damage,external-prediction,119,public_catalog_damage_layer,1,3,3,B160001100FF4510,2026-03-21T14:31:32.374596Z,B040001100075510,2026-06-26T15:09:50.723001Z,17,eligible_after_chip_qa,external_dedupe_sample_chip_qa_then_vlm,"Spatially dedupe and sample external candidates, then chip-QA before HF."
